Geneid	Chr	Start	End	Strand	Length	Drosha_1
mmu-miR-205-5p	chr1	193507503	193507524	-	22	195
mmu-miR-205-3p	chr1	193507467	193507488	-	22	1
mmu-miR-3962	chr1	194822035	194822054	+	20	3
mmu-miR-29b-3p	chr1	195037091	195037113	+	23	10
mmu-miR-29b-2-5p	chr1	195037050	195037074	+	25	0
mmu-miR-29c-5p	chr1	195037562	195037583	+	22	0
mmu-miR-29c-3p	chr1	195037600	195037621	+	22	1
mmu-miR-5104	chr10	7836441	7836464	+	24	0
mmu-miR-6413	chr10	20297593	20297613	-	21	0
mmu-miR-7663-5p	chr10	22729410	22729432	-	23	0
mmu-miR-7663-3p	chr10	22729372	22729393	-	22	0
mmu-miR-6905-5p	chr10	24910669	24910691	+	23	0
mmu-miR-6905-3p	chr10	24910711	24910731	+	21	1
mmu-miR-3473b	chr10	41670774	41670793	+	20	0
mmu-miR-1929-5p	chr10	44359692	44359714	+	23	0
mmu-miR-1929-3p	chr10	44359734	44359755	+	22	0
mmu-miR-6906-5p	chr10	60126777	60126800	+	24	0
mmu-miR-6906-3p	chr10	60126813	60126833	+	21	0
mmu-miR-6408	chr10	60923077	60923100	+	24	0
mmu-miR-466j	chr10	60960802	60960824	+	23	0
mmu-miR-5108	chr10	61774795	61774813	+	19	0
mmu-miR-7662-5p	chr10	62194206	62194227	-	22	0
mmu-miR-7662-3p	chr10	62194167	62194190	-	24	0
mmu-miR-7215-5p	chr10	62682508	62682532	+	25	0
mmu-miR-7215-3p	chr10	62682536	62682558	+	23	0
mmu-miR-6409	chr10	76008993	76009015	+	23	0
mmu-miR-678	chr10	76207333	76207354	-	22	0
mmu-miR-1930-5p	chr10	77641236	77641257	+	22	0
mmu-miR-1930-3p	chr10	77641274	77641295	+	22	0
mmu-miR-7659-5p	chr10	78340186	78340207	-	22	0
mmu-miR-7659-3p	chr10	78340150	78340172	-	23	0
mmu-miR-6907-5p	chr10	78408522	78408543	-	22	0
mmu-miR-6907-3p	chr10	78408477	78408499	-	23	0
mmu-miR-6410	chr10	78434803	78434824	+	22	0
mmu-miR-6908-5p	chr10	78445131	78445152	-	22	0
mmu-miR-6908-3p	chr10	78445095	78445116	-	22	0
mmu-miR-6909-5p	chr10	79531064	79531085	-	22	0
mmu-miR-6909-3p	chr10	79531029	79531050	-	22	0
mmu-miR-6910-5p	chr10	79862592	79862614	+	23	0
mmu-miR-6910-3p	chr10	79862629	79862650	+	22	0
mmu-miR-6911-5p	chr10	80278169	80278191	+	23	0
mmu-miR-6911-3p	chr10	80278212	80278232	+	21	0
mmu-miR-6912-5p	chr10	80609265	80609286	+	22	0
mmu-miR-6912-3p	chr10	80609305	80609329	+	25	0
mmu-miR-1982-5p	chr10	80828808	80828827	+	20	0
mmu-miR-1982-3p	chr10	80828848	80828870	+	23	2
mmu-miR-5615-5p	chr10	81104652	81104673	-	22	1
mmu-miR-5615-3p	chr10	81104614	81104635	-	22	1
mmu-miR-3057-5p	chr10	81271610	81271633	+	24	0
mmu-miR-3057-3p	chr10	81271654	81271675	+	22	0
mmu-miR-6913-5p	chr10	81386352	81386373	+	22	0
mmu-miR-6913-3p	chr10	81386390	81386412	+	23	2
mmu-miR-1191b-5p	chr10	81416276	81416297	-	22	0
mmu-miR-1191b-3p	chr10	81416240	81416261	-	22	0
mmu-miR-135a-5p	chr10	92072141	92072163	-	23	0
mmu-miR-135a-2-3p	chr10	92072104	92072124	-	21	0
mmu-miR-1251-5p	chr10	92137190	92137210	-	21	0
mmu-miR-1251-3p	chr10	92137152	92137172	-	21	0
mmu-miR-1931	chr10	93162879	93162900	+	22	0
mmu-miR-7688-5p	chr10	93433107	93433129	+	23	0
mmu-miR-7688-3p	chr10	93433142	93433162	+	21	0
mmu-miR-331-5p	chr10	93963817	93963838	-	22	0
mmu-miR-331-3p	chr10	93963783	93963803	-	21	0
mmu-miR-7211-5p	chr10	94586178	94586199	-	22	0
mmu-miR-7211-3p	chr10	94586137	94586159	-	23	0
mmu-miR-3058-5p	chr10	95559286	95559308	-	23	0
mmu-miR-3058-3p	chr10	95559244	95559264	-	21	0
mmu-miR-3966	chr10	97423493	97423513	+	21	0
mmu-miR-3059-5p	chr10	101772704	101772725	+	22	0
mmu-miR-3059-3p	chr10	101772740	101772761	+	22	0
mmu-miR-6411	chr10	104287290	104287310	+	21	0
mmu-miR-763	chr10	120448052	120448073	-	22	0
mmu-miR-6412	chr10	122648412	122648433	+	22	0
mmu-miR-8104	chr10	122679336	122679357	+	22	0
mmu-let-7i-5p	chr10	122985698	122985719	-	22	5
mmu-let-7i-3p	chr10	122985642	122985663	-	22	0
mmu-miR-378d	chr10	126710355	126710376	-	22	0
mmu-miR-26a-5p	chr10	126995543	126995564	+	22	691
mmu-miR-26a-2-3p	chr10	126995581	126995602	+	22	0
mmu-miR-546	chr10	126998471	126998486	+	16	0
mmu-miR-677-5p	chr10	128085291	128085312	+	22	70
mmu-miR-677-3p	chr10	128085335	128085360	+	26	2
mmu-miR-6914-5p	chr10	128382843	128382866	+	24	0
mmu-miR-6914-3p	chr10	128382882	128382900	+	19	1
mmu-miR-6915-5p	chr10	128388837	128388860	+	24	0
mmu-miR-6915-3p	chr10	128388879	128388900	+	22	0
mmu-miR-8105	chr10	128458732	128458753	+	22	0
mmu-miR-6916-5p	chr10	128512005	128512025	-	21	0
mmu-miR-6916-3p	chr10	128511968	128511989	-	22	0
mmu-miR-6917-5p	chr10	128584472	128584492	-	21	0
mmu-miR-6917-3p	chr10	128584437	128584458	-	22	0
mmu-miR-3060-5p	chr11	4139377	4139396	+	20	0
mmu-miR-3060-3p	chr11	4139413	4139434	+	22	0
mmu-miR-6918-5p	chr11	4891350	4891372	+	23	0
mmu-miR-6918-3p	chr11	4891381	4891402	+	22	0
mmu-miR-7651-5p	chr11	6401630	6401651	+	22	0
mmu-miR-7651-3p	chr11	6401670	6401693	+	24	0
mmu-miR-1933-5p	chr11	21344640	21344663	-	24	0
mmu-miR-1933-3p	chr11	21344600	21344621	-	22	0
mmu-miR-6372	chr11	26202258	26202280	+	23	0
mmu-miR-216b-5p	chr11	28746204	28746225	+	22	0
mmu-miR-216b-3p	chr11	28746244	28746265	+	22	0
mmu-miR-216c-5p	chr11	28746244	28746266	-	23	0
mmu-miR-216c-3p	chr11	28746198	28746220	-	23	0
mmu-miR-216a-5p	chr11	28757018	28757039	+	22	0
mmu-miR-216a-3p	chr11	28757058	28757079	+	22	0
mmu-miR-217-5p	chr11	28763761	28763783	+	23	0
mmu-miR-217-3p	chr11	28763798	28763820	+	23	0
mmu-miR-218-5p	chr11	35616840	35616860	+	21	0
mmu-miR-218-2-3p	chr11	35616882	35616903	+	22	0
mmu-miR-103-1-5p	chr11	35782410	35782432	+	23	0
mmu-miR-103-3p	chr11	35782447	35782469	+	23	52
mmu-miR-146a-5p	chr11	43374435	43374456	-	22	6
mmu-miR-146a-3p	chr11	43374399	43374420	-	22	0
mmu-miR-8100	chr11	46102300	46102322	+	23	0
mmu-miR-7239-5p	chr11	46170087	46170106	+	20	0
mmu-miR-7239-3p	chr11	46170124	46170143	+	20	0
mmu-miR-340-5p	chr11	50069720	50069741	+	22	3
mmu-miR-340-3p	chr11	50069762	50069783	+	22	0
mmu-miR-6919-5p	chr11	50232250	50232272	+	23	0
mmu-miR-6919-3p	chr11	50232286	50232306	+	21	0
mmu-miR-804	chr11	50357799	50357820	-	22	0
mmu-miR-3061-5p	chr11	52126759	52126780	+	22	0
mmu-miR-3061-3p	chr11	52126804	52126825	+	22	1
mmu-miR-6920-5p	chr11	53409202	53409223	+	22	0
mmu-miR-6920-3p	chr11	53409245	53409265	+	21	0
mmu-miR-7671-5p	chr11	53763632	53763654	-	23	0
mmu-miR-7671-3p	chr11	53763597	53763618	-	22	0
mmu-miR-7652-5p	chr11	55501226	55501247	+	22	0
mmu-miR-7652-3p	chr11	55501261	55501281	+	21	0
mmu-miR-6921-5p	chr11	60200591	60200612	-	22	0
mmu-miR-6921-3p	chr11	60200538	60200558	-	21	0
mmu-miR-6922-5p	chr11	60202300	60202322	-	23	0
mmu-miR-6922-3p	chr11	60202262	60202284	-	23	0
mmu-miR-5100	chr11	60728698	60728718	+	21	67
mmu-miR-744-5p	chr11	65734799	65734820	-	22	3
mmu-miR-744-3p	chr11	65734742	65734763	-	22	0
mmu-miR-6923-5p	chr11	67099804	67099827	+	24	0
mmu-miR-6923-3p	chr11	67099855	67099875	+	21	0
mmu-miR-6406	chr11	68220917	68220938	+	22	0
mmu-miR-3062-5p	chr11	68990638	68990659	-	22	6
mmu-miR-3062-3p	chr11	68990597	68990615	-	19	0
mmu-miR-467f	chr11	69635419	69635439	-	21	0
mmu-miR-1934-5p	chr11	69663055	69663077	+	23	0
mmu-miR-1934-3p	chr11	69663092	69663113	+	22	0
mmu-miR-6924-5p	chr11	69882067	69882089	-	23	0
mmu-miR-6924-3p	chr11	69882032	69882052	-	21	0
mmu-miR-324-5p	chr11	70012060	70012082	+	23	3
mmu-miR-324-3p	chr11	70012095	70012114	+	20	1
mmu-miR-497b	chr11	70234763	70234786	-	24	0
mmu-miR-497a-5p	chr11	70234730	70234751	+	22	11
mmu-miR-497a-3p	chr11	70234770	70234790	+	21	0
mmu-miR-195a-5p	chr11	70235062	70235082	+	21	1
mmu-miR-195a-3p	chr11	70235100	70235121	+	22	0
mmu-miR-7115-5p	chr11	70438256	70438279	+	24	0
mmu-miR-7115-3p	chr11	70438297	70438318	+	22	0
mmu-miR-6925-5p	chr11	70705995	70706016	+	22	0
mmu-miR-6925-3p	chr11	70706035	70706052	+	18	0
mmu-miR-6338	chr11	72388765	72388785	+	21	0
mmu-miR-6926-5p	chr11	74868168	74868189	-	22	0
mmu-miR-6926-3p	chr11	74868127	74868147	-	21	0
mmu-miR-212-5p	chr11	75173403	75173425	+	23	0
mmu-miR-212-3p	chr11	75173443	75173464	+	22	0
mmu-miR-132-5p	chr11	75173686	75173707	+	22	0
mmu-miR-132-3p	chr11	75173723	75173744	+	22	0
mmu-miR-22-5p	chr11	75463734	75463755	+	22	0
mmu-miR-22-3p	chr11	75463772	75463793	+	22	279
mmu-miR-3971	chr11	75551480	75551501	+	22	0
mmu-miR-423-5p	chr11	77078122	77078144	-	23	4
mmu-miR-423-3p	chr11	77078086	77078108	-	23	4
mmu-miR-144-5p	chr11	78073010	78073032	+	23	0
mmu-miR-144-3p	chr11	78073047	78073066	+	20	0
mmu-miR-451a	chr11	78073186	78073207	+	22	0
mmu-miR-451b	chr11	78073219	78073239	-	21	0
mmu-miR-7653-5p	chr11	78178827	78178848	+	22	0
mmu-miR-7653-3p	chr11	78178866	78178887	+	22	0
mmu-miR-193a-5p	chr11	79711975	79711996	+	22	0
mmu-miR-193a-3p	chr11	79712009	79712030	+	22	8
mmu-miR-365-2-5p	chr11	79726428	79726450	+	23	0
mmu-miR-365-3p	chr11	79726467	79726488	+	22	0
mmu-miR-7679-5p	chr11	82985046	82985065	-	20	0
mmu-miR-7679-3p	chr11	82985003	82985026	-	24	0
mmu-miR-5110	chr11	85760675	85760699	-	25	0
mmu-miR-21a-5p	chr11	86584120	86584141	-	22	90
mmu-miR-21a-3p	chr11	86584082	86584103	-	22	2
mmu-miR-301a-5p	chr11	87113017	87113038	+	22	1
mmu-miR-301a-3p	chr11	87113054	87113076	+	23	16
mmu-miR-142b	chr11	87756906	87756925	-	20	0
mmu-miR-142a-5p	chr11	87756867	87756887	+	21	112
mmu-miR-142a-3p	chr11	87756903	87756925	+	23	8
mmu-miR-378b	chr11	88352839	88352858	+	20	0
mmu-miR-3063-5p	chr11	95963347	95963367	-	21	0
mmu-miR-3063-3p	chr11	95963304	95963325	-	22	0
mmu-miR-196a-5p	chr11	96265187	96265208	+	22	0
mmu-miR-196a-1-3p	chr11	96265225	96265246	+	22	0
mmu-miR-10a-5p	chr11	96317186	96317208	+	23	4
mmu-miR-10a-3p	chr11	96317227	96317248	+	22	0
mmu-miR-152-5p	chr11	96850400	96850423	+	24	2
mmu-miR-152-3p	chr11	96850439	96850459	+	21	0
mmu-miR-8103	chr11	97063829	97063849	+	21	0
mmu-miR-7235-5p	chr11	97146402	97146419	-	18	0
mmu-miR-7235-3p	chr11	97146364	97146386	-	23	0
mmu-miR-6927-5p	chr11	97677060	97677081	+	22	1
mmu-miR-6927-3p	chr11	97677106	97677126	+	21	0
mmu-miR-8102	chr11	97744974	97744995	+	22	0
mmu-miR-5119	chr11	98262638	98262656	+	19	0
mmu-miR-7116-5p	chr11	100478455	100478475	-	21	0
mmu-miR-7116-3p	chr11	100478411	100478432	-	22	1
mmu-miR-6928-5p	chr11	101030345	101030367	+	23	0
mmu-miR-6928-3p	chr11	101030388	101030409	+	22	0
mmu-miR-6929-5p	chr11	101419228	101419248	-	21	0
mmu-miR-6929-3p	chr11	101419187	101419209	-	23	0
mmu-miR-8101	chr11	102230103	102230124	-	22	0
mmu-miR-6930-5p	chr11	102404960	102404982	-	23	0
mmu-miR-6930-3p	chr11	102404920	102404940	-	21	0
mmu-miR-6931-5p	chr11	102999896	102999916	-	21	0
mmu-miR-6931-3p	chr11	102999848	102999868	-	21	1
mmu-miR-3064-5p	chr11	106782736	106782757	-	22	0
mmu-miR-3064-3p	chr11	106782695	106782716	-	22	0
mmu-miR-6932-5p	chr11	107637727	107637748	+	22	3
mmu-miR-6932-3p	chr11	107637759	107637779	+	21	1
mmu-miR-7223-5p	chr11	107996848	107996867	+	20	0
mmu-miR-7223-3p	chr11	107996900	107996916	+	17	0
mmu-miR-3968	chr11	115447969	115447989	-	21	1
mmu-miR-5621-5p	chr11	115795824	115795846	+	23	0
mmu-miR-5621-3p	chr11	115795866	115795886	+	21	0
mmu-miR-6516-5p	chr11	117077370	117077391	+	22	3
mmu-miR-6516-3p	chr11	117077412	117077433	+	22	1
mmu-miR-6933-5p	chr11	118002279	118002300	+	22	3
mmu-miR-6933-3p	chr11	118002324	118002343	+	20	0
mmu-miR-6934-5p	chr11	119154111	119154132	-	22	0
mmu-miR-6934-3p	chr11	119154076	119154097	-	22	0
mmu-miR-1932	chr11	119390524	119390545	+	22	0
mmu-miR-338-5p	chr11	120014816	120014837	-	22	0
mmu-miR-338-3p	chr11	120014781	120014802	-	22	0
mmu-miR-3065-5p	chr11	120014780	120014801	+	22	0
mmu-miR-3065-3p	chr11	120014819	120014841	+	23	0
mmu-miR-6935-5p	chr11	120347387	120347408	-	22	0
mmu-miR-6935-3p	chr11	120347350	120347369	-	20	0
mmu-miR-6936-5p	chr11	120624856	120624876	-	21	0
mmu-miR-6936-3p	chr11	120624827	120624847	-	21	0
mmu-miR-7236-5p	chr11	121387181	121387204	-	24	0
mmu-miR-7236-3p	chr11	121387145	121387166	-	22	0
mmu-miR-7675-5p	chr12	11299887	11299908	+	22	0
mmu-miR-7675-3p	chr12	11299924	11299944	+	21	0
mmu-miR-6387	chr12	15801064	15801085	-	22	0
mmu-miR-3066-5p	chr12	17355404	17355425	+	22	0
mmu-miR-3066-3p	chr12	17355441	17355462	+	22	0
mmu-miR-6538	chr12	26414970	26414988	-	19	2
mmu-miR-6937-5p	chr12	28679325	28679348	+	24	0
mmu-miR-6937-3p	chr12	28679367	28679389	+	23	0
mmu-miR-680	chr12	35194849	35194869	-	21	0
mmu-miR-5099	chr12	36816250	36816269	+	20	2221
mmu-miR-1938	chr12	40222782	40222803	-	22	0
mmu-miR-5627-5p	chr12	44210313	44210334	+	22	0
mmu-miR-5627-3p	chr12	44210350	44210373	+	24	2
mmu-miR-1892	chr12	54645943	54645964	-	22	0
mmu-miR-681	chr12	69763923	69763943	-	21	0
mmu-miR-5101	chr12	75909154	75909175	+	22	0
mmu-miR-5135	chr12	76533143	76533166	-	24	0
mmu-miR-1843a-5p	chr12	80391654	80391674	-	21	48
mmu-miR-1843a-3p	chr12	80391615	80391636	-	22	5
mmu-miR-3067-5p	chr12	81166165	81166187	+	23	0
mmu-miR-3067-3p	chr12	81166201	81166223	+	23	0
mmu-miR-6938-5p	chr12	85245958	85245980	-	23	0
mmu-miR-6938-3p	chr12	85245923	85245944	-	22	1
mmu-miR-3068-5p	chr12	87437724	87437747	-	24	436
mmu-miR-3068-3p	chr12	87437685	87437706	-	22	142
mmu-miR-8099	chr12	93927373	93927393	+	21	0
mmu-miR-1190	chr12	101021692	101021713	-	22	0
mmu-miR-1936	chr12	102684943	102684965	-	23	0
mmu-miR-3069-5p	chr12	105031117	105031140	-	24	2
mmu-miR-3069-3p	chr12	105031078	105031099	-	22	4
mmu-miR-342-5p	chr12	108658638	108658659	+	22	0
mmu-miR-342-3p	chr12	108658680	108658702	+	23	1
mmu-miR-345-5p	chr12	108836989	108837010	+	22	0
mmu-miR-345-3p	chr12	108837027	108837048	+	22	0
mmu-miR-1906	chr12	109544588	109544609	+	22	0
mmu-miR-770-5p	chr12	109563710	109563731	+	22	0
mmu-miR-770-3p	chr12	109563744	109563765	+	22	0
mmu-miR-673-5p	chr12	109572004	109572025	+	22	0
mmu-miR-673-3p	chr12	109572044	109572066	+	23	0
mmu-miR-493-5p	chr12	109580243	109580261	+	19	0
mmu-miR-493-3p	chr12	109580283	109580305	+	23	0
mmu-miR-337-5p	chr12	109585818	109585839	+	22	0
mmu-miR-337-3p	chr12	109585850	109585871	+	22	0
mmu-miR-3544-5p	chr12	109585851	109585873	-	23	0
mmu-miR-3544-3p	chr12	109585813	109585834	-	22	0
mmu-miR-540-5p	chr12	109586085	109586107	+	23	0
mmu-miR-540-3p	chr12	109586122	109586141	+	20	0
mmu-miR-665-5p	chr12	109586331	109586356	+	26	0
mmu-miR-665-3p	chr12	109586368	109586387	+	20	0
mmu-miR-3070-5p	chr12	109587959	109587981	+	23	0
mmu-miR-3070-3p	chr12	109587999	109588020	+	22	0
mmu-miR-3070-2-3p	chr12	109588648	109588669	+	22	0
mmu-miR-431-5p	chr12	109590459	109590479	+	21	0
mmu-miR-431-3p	chr12	109590502	109590523	+	22	0
mmu-miR-433-5p	chr12	109591729	109591750	+	22	0
mmu-miR-433-3p	chr12	109591781	109591802	+	22	0
mmu-miR-127-5p	chr12	109592854	109592875	+	22	0
mmu-miR-127-3p	chr12	109592888	109592909	+	22	4
mmu-miR-434-5p	chr12	109594528	109594549	+	22	0
mmu-miR-434-3p	chr12	109594565	109594586	+	22	0
mmu-miR-432	chr12	109595006	109595028	+	23	0
mmu-miR-3071-5p	chr12	109595363	109595384	-	22	0
mmu-miR-3071-3p	chr12	109595329	109595350	-	22	0
mmu-miR-136-5p	chr12	109595331	109595352	+	22	0
mmu-miR-136-3p	chr12	109595366	109595387	+	22	0
mmu-miR-341-5p	chr12	109611521	109611541	+	21	0
mmu-miR-341-3p	chr12	109611556	109611576	+	21	0
mmu-miR-1188-5p	chr12	109611841	109611861	+	21	0
mmu-miR-1188-3p	chr12	109611877	109611901	+	25	0
mmu-miR-370-5p	chr12	109618270	109618289	+	20	0
mmu-miR-370-3p	chr12	109618305	109618326	+	22	0
mmu-miR-882	chr12	109682207	109682228	+	22	0
mmu-miR-379-5p	chr12	109709065	109709085	+	21	0
mmu-miR-379-3p	chr12	109709102	109709123	+	22	0
mmu-miR-411-5p	chr12	109710190	109710210	+	21	0
mmu-miR-411-3p	chr12	109710225	109710246	+	22	0
mmu-miR-299a-5p	chr12	109710644	109710665	+	22	0
mmu-miR-299a-3p	chr12	109710676	109710697	+	22	0
mmu-miR-299b-5p	chr12	109710673	109710693	-	21	0
mmu-miR-299b-3p	chr12	109710645	109710662	-	18	0
mmu-miR-380-5p	chr12	109711806	109711827	+	22	0
mmu-miR-380-3p	chr12	109711842	109711863	+	22	0
mmu-miR-1197-5p	chr12	109712361	109712381	+	21	0
mmu-miR-1197-3p	chr12	109712396	109712416	+	21	0
mmu-miR-323-5p	chr12	109712523	109712544	+	22	0
mmu-miR-323-3p	chr12	109712558	109712578	+	21	0
mmu-miR-758-5p	chr12	109712823	109712843	+	21	0
mmu-miR-758-3p	chr12	109712858	109712876	+	19	0
mmu-miR-329-5p	chr12	109713503	109713524	+	22	0
mmu-miR-329-3p	chr12	109713541	109713562	+	22	0
mmu-miR-494-5p	chr12	109715334	109715355	+	22	0
mmu-miR-494-3p	chr12	109715367	109715388	+	22	0
mmu-miR-679-5p	chr12	109715587	109715608	+	22	0
mmu-miR-679-3p	chr12	109715624	109715645	+	22	0
mmu-miR-1193-5p	chr12	109715716	109715735	+	20	0
mmu-miR-1193-3p	chr12	109715750	109715770	+	21	0
mmu-miR-666-5p	chr12	109717103	109717124	+	22	0
mmu-miR-666-3p	chr12	109717140	109717161	+	22	0
mmu-miR-543-5p	chr12	109717269	109717289	+	21	0
mmu-miR-543-3p	chr12	109717304	109717325	+	22	0
mmu-miR-495-5p	chr12	109718757	109718779	+	23	0
mmu-miR-495-3p	chr12	109718795	109718816	+	22	0
mmu-miR-667-5p	chr12	109720020	109720044	+	25	0
mmu-miR-667-3p	chr12	109720061	109720083	+	23	0
mmu-miR-376c-5p	chr12	109722733	109722754	+	22	0
mmu-miR-376c-3p	chr12	109722770	109722790	+	21	0
mmu-miR-654-5p	chr12	109723235	109723256	+	22	0
mmu-miR-654-3p	chr12	109723270	109723291	+	22	0
mmu-miR-376b-5p	chr12	109723471	109723492	+	22	0
mmu-miR-376b-3p	chr12	109723508	109723528	+	21	0
mmu-miR-376a-5p	chr12	109723786	109723807	+	22	0
mmu-miR-376a-3p	chr12	109723824	109723844	+	21	0
mmu-miR-300-5p	chr12	109724318	109724339	+	22	0
mmu-miR-300-3p	chr12	109724363	109724384	+	22	0
mmu-miR-381-5p	chr12	109726829	109726851	+	23	0
mmu-miR-381-3p	chr12	109726870	109726891	+	22	0
mmu-miR-487b-5p	chr12	109727347	109727367	+	21	0
mmu-miR-487b-3p	chr12	109727382	109727403	+	22	0
mmu-miR-539-5p	chr12	109728136	109728157	+	22	0
mmu-miR-539-3p	chr12	109728176	109728197	+	22	0
mmu-miR-544-5p	chr12	109729335	109729355	+	21	0
mmu-miR-544-3p	chr12	109729371	109729392	+	22	0
mmu-miR-382-5p	chr12	109733781	109733802	+	22	0
mmu-miR-382-3p	chr12	109733819	109733840	+	22	1
mmu-miR-134-5p	chr12	109734145	109734166	+	22	0
mmu-miR-134-3p	chr12	109734184	109734203	+	20	0
